scenario,seed,b,c,q,K,G,rounds,partner,model,cooperation_rate,mean_r1,mean_rho,mean_r2,mean_cfe,mean_brier,bonus,trajectory_scalar,parse_failures
11,0,3.5746159087679974,2.6848394518597125,0.5,4,2,10,tit_for_two_tats,qwen3-8b-base,1.0,0.5710745908106497,1.0,0.24759762638404825,0.12083234523452038,0.04375,0.0177686477026624,0.7600329093477042,0
11,1,3.5746159087679974,2.6848394518597125,0.5,4,2,10,tit_for_two_tats,qwen3-8b-base,0.0,0.5431403273514803,0.5555555555555556,0.1375542368800268,0.23758329067014256,0.0125,-0.007107459081064959,0.5611921729883294,1
12,0,3.2011022602518286,2.4125155077453746,0.0,6,4,6,tit_for_tat,qwen3-8b-base,1.0,0.5702387288463178,1.0,0.06280429134524597,0.15157195805639442,0.18055555555555558,0.021461833814152637,0.5608340134657254,0
12,1,3.2011022602518286,2.4125155077453746,0.0,6,4,6,tit_for_tat,qwen3-8b-base,0.16666666666666666,0.5482139689101745,0.2,0.012560858269049194,0.21245499027456147,0.0861111111111111,-0.00260143440171544,0.45411375964165707,0
13,0,4.804004873976078,4.597651620803855,0.0,4,3,6,random,qwen3-8b-base,0.0,0.8296752323506892,-0.2,-0.015950759631510558,0.3266031081621945,0.09375,-0.002514944425567841,0.6500037612338202,2
13,1,4.804004873976078,4.597651620803855,0.0,4,3,6,random,qwen3-8b-base,0.16666666666666666,0.7481709495086779,-0.2,-0.015950759631510558,0.3102814910043336,0.13541666666666666,-0.002286313114152579,0.5766983921893085,1
14,0,5.633860514066062,1.8324788579166473,0.5,6,4,6,always_defect,qwen3-8b-base,0.16666666666666666,0.20452669492372974,0.6,0.11626308330976154,0.4285414171845984,0.0037037222222222215,-0.08249887790003105,0.09276925665785352,0
14,1,5.633860514066062,1.8324788579166473,0.5,6,4,6,always_defect,qwen3-8b-base,0.16666666666666666,0.20452669492372974,0.6,0.11626308330976154,0.462572473370718,0.0212962962962963,-0.0683562131171686,0.07811083936193751,1
15,0,3.1705988823096463,0.9903707581868049,0.5,6,4,5,tit_for_tat,qwen3-8b-base,1.0,0.7619855841897846,1.0,0.18498886286026472,0.23298640838713372,0.028000000000000008,0.09023947899870362,0.8485291386562231,0
15,1,3.1705988823096463,0.9903707581868049,0.5,6,4,5,tit_for_tat,qwen3-8b-base,1.0,0.7619855841897846,1.0,0.18498886286026472,0.274375329627807,0.09777777777777781,0.06112996964428312,0.8220127761650025,0
16,0,5.185839274930386,4.9517994828650265,0.75,6,3,7,tit_for_two_tats,qwen3-8b-base,1.0,0.5115431116484297,1.0,0.338988809778912,0.07985309038506094,0.05603174603174603,0.0017864339455902992,0.8108605810841812,0
16,1,5.185839274930386,4.9517994828650265,0.75,6,3,7,tit_for_two_tats,qwen3-8b-base,1.0,0.5115431116484297,1.0,0.338988809778912,0.11382527293738753,0.05055555555555556,0.0012367619623317846,0.7937959652389811,0
17,0,5.7944528650601725,1.0462360519029512,1.0,6,3,7,tit_for_two_tats,qwen3-8b-base,0.8571428571428571,0.8689059289700787,1.0,0.3583335610739756,0.27385024684868114,0.012063492063492068,0.16939682860002506,1.1145139135625743,1
17,1,5.7944528650601725,1.0462360519029512,1.0,6,3,7,tit_for_two_tats,qwen3-8b-base,0.8571428571428571,0.8689059289700787,0.6666666666666666,0.23888904071598374,0.29374373539790716,0.019047619047619053,0.14460704880489947,0.9815812518163802,1
18,0,5.594826998880314,4.9916234365218894,0.0,6,2,8,always_defect,qwen3-8b-base,0.125,0.4125717617635751,1.0,0.07806622989112533,0.3244714657306622,0.01666666666666667,-0.014244707563671355,0.3266216703439104,0
18,1,5.594826998880314,4.9916234365218894,0.0,6,2,8,always_defect,qwen3-8b-base,0.125,0.4125717617635751,1.0,0.07806622989112533,0.32861200799859785,0.04055555555555555,-0.016025296009130274,0.32432882565426013,0
19,0,5.452607388317866,4.440050420164343,1.0,6,2,5,tit_for_two_tats,qwen3-8b-base,0.0,0.669293682615242,0.0,0.0,0.3698955499181692,0.025555555555555554,-0.003411813042750881,0.48366354504760745,1
